Comunidad autónoma de residencia;Tipo de dato;Gastos medios y distribución porcentual;Grupos de gasto (2 dígitos);Periodo;Total
Total Nacional;Dato base;Gasto medio por persona;10 Servicios de educación;2024;221,52
Total Nacional;Dato base;Gasto medio por persona;10 Servicios de educación;2023;195,42
Total Nacional;Dato base;Gasto medio por persona;10 Servicios de educación;2022;182,03
Total Nacional;Dato base;Gasto medio por persona;10 Servicios de educación;2021;171,74
Total Nacional;Dato base;Gasto medio por persona;10 Servicios de educación;2020;175,72
Total Nacional;Dato base;Gasto medio por persona;10 Servicios de educación;2019;193,10
Total Nacional;Dato base;Gasto medio por persona;10 Servicios de educación;2018;185,35
Total Nacional;Dato base;Gasto medio por persona;10 Servicios de educación;2017;166,41
Total Nacional;Dato base;Gasto medio por persona;10 Servicios de educación;2016;160,08
Total Nacional;Dato base;Gasto medio por persona;11 Restaurantes y servicios de alojamiento;2024;1.350,28
Total Nacional;Dato base;Gasto medio por persona;11 Restaurantes y servicios de alojamiento;2023;1.330,78
Total Nacional;Dato base;Gasto medio por persona;11 Restaurantes y servicios de alojamiento;2022;1.170,28
Total Nacional;Dato base;Gasto medio por persona;11 Restaurantes y servicios de alojamiento;2021;900,64
Total Nacional;Dato base;Gasto medio por persona;11 Restaurantes y servicios de alojamiento;2020;703,47
Total Nacional;Dato base;Gasto medio por persona;11 Restaurantes y servicios de alojamiento;2019;1.182,30
Total Nacional;Dato base;Gasto medio por persona;11 Restaurantes y servicios de alojamiento;2018;1.185,26
Total Nacional;Dato base;Gasto medio por persona;11 Restaurantes y servicios de alojamiento;2017;1.205,68
Total Nacional;Dato base;Gasto medio por persona;11 Restaurantes y servicios de alojamiento;2016;1.114,83
Total Nacional;Dato base;Gasto medio por persona;12 Seguros y servicios financieros;2024;508,14
Total Nacional;Dato base;Gasto medio por persona;12 Seguros y servicios financieros;2023;467,65
Total Nacional;Dato base;Gasto medio por persona;12 Seguros y servicios financieros;2022;456,48
Total Nacional;Dato base;Gasto medio por persona;12 Seguros y servicios financieros;2021;441,45
Total Nacional;Dato base;Gasto medio por persona;12 Seguros y servicios financieros;2020;432,44
Total Nacional;Dato base;Gasto medio por persona;12 Seguros y servicios financieros;2019;429,23
Total Nacional;Dato base;Gasto medio por persona;12 Seguros y servicios financieros;2018;423,93
Total Nacional;Dato base;Gasto medio por persona;12 Seguros y servicios financieros;2017;413,25
Total Nacional;Dato base;Gasto medio por persona;12 Seguros y servicios financieros;2016;410,51
Total Nacional;Dato base;Gasto medio por persona;13 Cuidado personal, protección social, y bienes y servicios diversos;2024;491,61
Total Nacional;Dato base;Gasto medio por persona;13 Cuidado personal, protección social, y bienes y servicios diversos;2023;498,80
Total Nacional;Dato base;Gasto medio por persona;13 Cuidado personal, protección social, y bienes y servicios diversos;2022;480,58
Total Nacional;Dato base;Gasto medio por persona;13 Cuidado personal, protección social, y bienes y servicios diversos;2021;433,41
Total Nacional;Dato base;Gasto medio por persona;13 Cuidado personal, protección social, y bienes y servicios diversos;2020;412,07
Total Nacional;Dato base;Gasto medio por persona;13 Cuidado personal, protección social, y bienes y servicios diversos;2019;487,64
Total Nacional;Dato base;Gasto medio por persona;13 Cuidado personal, protección social, y bienes y servicios diversos;2018;496,96
Total Nacional;Dato base;Gasto medio por persona;13 Cuidado personal, protección social, y bienes y servicios diversos;2017;491,21
Total Nacional;Dato base;Gasto medio por persona;13 Cuidado personal, protección social, y bienes y servicios diversos;2016;473,88
Total Nacional;Dato base;Gasto medio por unidad de consumo;Índice general;2024;20.113,55
Total Nacional;Dato base;Gasto medio por unidad de consumo;Índice general;2023;19.357,04
Total Nacional;Dato base;Gasto medio por unidad de consumo;Índice general;2022;18.609,33
Total Nacional;Dato base;Gasto medio por unidad de consumo;Índice general;2021;17.186,53
Total Nacional;Dato base;Gasto medio por unidad de consumo;Índice general;2020;16.058,45
Total Nacional;Dato base;Gasto medio por unidad de consumo;Índice general;2019;18.006,12
Total Nacional;Dato base;Gasto medio por unidad de consumo;Índice general;2018;17.813,90
Total Nacional;Dato base;Gasto medio por unidad de consumo;Índice general;2017;17.399,71
Total Nacional;Dato base;Gasto medio por unidad de consumo;Índice general;2016;16.802,54
Total Nacional;Dato base;Gasto medio por unidad de consumo;01 Alimentos y bebidas no alcohólicas;2024;3.184,89
Total Nacional;Dato base;Gasto medio por unidad de consumo;01 Alimentos y bebidas no alcohólicas;2023;3.166,11
Total Nacional;Dato base;Gasto medio por unidad de consumo;01 Alimentos y bebidas no alcohólicas;2022;2.992,02
Total Nacional;Dato base;Gasto medio por unidad de consumo;01 Alimentos y bebidas no alcohólicas;2021;2.841,69
Total Nacional;Dato base;Gasto medio por unidad de consumo;01 Alimentos y bebidas no alcohólicas;2020;2.724,32
Total Nacional;Dato base;Gasto medio por unidad de consumo;01 Alimentos y bebidas no alcohólicas;2019;2.552,29
Total Nacional;Dato base;Gasto medio por unidad de consumo;01 Alimentos y bebidas no alcohólicas;2018;2.519,07
Total Nacional;Dato base;Gasto medio por unidad de consumo;01 Alimentos y bebidas no alcohólicas;2017;2.449,09
Total Nacional;Dato base;Gasto medio por unidad de consumo;01 Alimentos y bebidas no alcohólicas;2016;2.457,27
Total Nacional;Dato base;Gasto medio por unidad de consumo;02 Bebidas alcohólicas, tabaco y estupefacientes;2024;264,00
Total Nacional;Dato base;Gasto medio por unidad de consumo;02 Bebidas alcohólicas, tabaco y estupefacientes;2023;280,23
Total Nacional;Dato base;Gasto medio por unidad de consumo;02 Bebidas alcohólicas, tabaco y estupefacientes;2022;283,26
Total Nacional;Dato base;Gasto medio por unidad de consumo;02 Bebidas alcohólicas, tabaco y estupefacientes;2021;292,43
Total Nacional;Dato base;Gasto medio por unidad de consumo;02 Bebidas alcohólicas, tabaco y estupefacientes;2020;302,92
Total Nacional;Dato base;Gasto medio por unidad de consumo;02 Bebidas alcohólicas, tabaco y estupefacientes;2019;306,92
Total Nacional;Dato base;Gasto medio por unidad de consumo;02 Bebidas alcohólicas, tabaco y estupefacientes;2018;308,97
Total Nacional;Dato base;Gasto medio por unidad de consumo;02 Bebidas alcohólicas, tabaco y estupefacientes;2017;319,21
Total Nacional;Dato base;Gasto medio por unidad de consumo;02 Bebidas alcohólicas, tabaco y estupefacientes;2016;319,12
Total Nacional;Dato base;Gasto medio por unidad de consumo;03 Vestido y calzado;2024;845,80
Total Nacional;Dato base;Gasto medio por unidad de consumo;03 Vestido y calzado;2023;783,02
Total Nacional;Dato base;Gasto medio por unidad de consumo;03 Vestido y calzado;2022;722,94
Total Nacional;Dato base;Gasto medio por unidad de consumo;03 Vestido y calzado;2021;677,67
Total Nacional;Dato base;Gasto medio por unidad de consumo;03 Vestido y calzado;2020;600,22
Total Nacional;Dato base;Gasto medio por unidad de consumo;03 Vestido y calzado;2019;843,95
Total Nacional;Dato base;Gasto medio por unidad de consumo;03 Vestido y calzado;2018;872,53
